From	To	Species	Gene Name
SEPR_HUMAN	775626	Homo sapiens	fibroblast activation protein, alpha
Q6XKD3_RAT	398839	Rattus norvegicus	G protein-coupled receptor 44
PDE7B_HUMAN	798521	Homo sapiens	phosphodiesterase 7B
MMP10_HUMAN	775819	Homo sapiens	matrix metallopeptidase 10 (stromelysin 2)
Q8MHZ5_SHEEP	568168	Ovis aries	growth hormone secretagogue receptor
PPGB_HUMAN	826221	Homo sapiens	cathepsin A
KCND2_RAT	385945	Rattus norvegicus	potassium voltage gated channel, Shal-related family, member 2
PA21B_HUMAN	825567	Homo sapiens	phospholipase A2, group IB (pancreas)
PP1G_HUMAN	778740	Homo sapiens	protein phosphatase 1, catalytic subunit, gamma isoform
PA2GX_MOUSE	437949	Mus musculus	phospholipase A2, group X
KCC4_HUMAN	772481	Homo sapiens	calcium/calmodulin-dependent protein kinase IV
TYSY_HUMAN	798647	Homo sapiens	thymidylate synthetase
Q6L709_HHV2	333065	Human herpesvirus 2	HHV2gp25
PYRD_RAT	387660	Rattus norvegicus	dihydroorotate dehydrogenase
Q95J97_RABIT	539802	Oryctolagus cuniculus	PKA catalytic subunit alpha
TRXR1_HUMAN	816505	Homo sapiens	thioredoxin reductase 1; hypothetical LOC100130902
RARB_HUMAN	815839	Homo sapiens	retinoic acid receptor, beta
Q5CGA3_CRYHO	3297618	Cryptosporidium hominis	Chro.40506
LIPS_HUMAN	790886	Homo sapiens	lipase, hormone-sensitive
PRGR_RAT	395573	Rattus norvegicus	progesterone receptor
PLAP_HUMAN	791062	Homo sapiens	phospholipase A2-activating protein
PF2R_BOVIN	572166	Bos taurus	prostaglandin F receptor (FP)
KPCB_RAT	379186	Rattus norvegicus	protein kinase C, beta
Q50H31_BRAPL	6579386	Brachyspira pilosicoli	oxa-63
Q862F3_BOVIN	579217	Bos taurus	similar to alpha-tubulin
PTN11_HUMAN	802114	Homo sapiens	protein tyrosine phosphatase, non-receptor type 11; similar to protein tyrosine phosphatase, non-receptor type 11
PH4H_RAT	398510	Rattus norvegicus	phenylalanine hydroxylase
PDE4C_MOUSE	469970	Mus musculus	phosphodiesterase 4C, cAMP specific
P4K2A_HUMAN	805285	Homo sapiens	phosphatidylinositol 4-kinase type 2 alpha
VGFR1_MOUSE	463805	Mus musculus	FMS-like tyrosine kinase 1
Q9BDP5_BOVIN	578534	Bos taurus	nitric oxide synthase 2, inducible
PAK7_HUMAN	809184	Homo sapiens	p21 protein (Cdc42/Rac)-activated kinase 7
ST17A_HUMAN	812245	Homo sapiens	serine/threonine kinase 17a
PRGR_HUMAN	802400	Homo sapiens	progesterone receptor
LKHA4_HUMAN	784723	Homo sapiens	leukotriene A4 hydrolase
TOP1_HUMAN	784843	Homo sapiens	topoisomerase (DNA) I
OPRM_MACMU	910548	Macaca mulatta	opioid receptor, mu 1
MMP16_HUMAN	813543	Homo sapiens	matrix metallopeptidase 16 (membrane-inserted)
NMDE3_MOUSE	475668	Mus musculus	glutamate receptor, ionotropic, NMDA2C (epsilon 3)
PLCG1_HUMAN	818556	Homo sapiens	phospholipase C, gamma 1
NMDE1_RAT	415040	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
PI51A_HUMAN	804364	Homo sapiens	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha
SCN5A_HUMAN	804178	Homo sapiens	sodium channel, voltage-gated, type V, alpha subunit
PLMN_HUMAN	821488	Homo sapiens	plasminogen
TAAR1_HUMAN	812271	Homo sapiens	trace amine associated receptor 1
SRPK3_HUMAN	807644	Homo sapiens	SFRS protein kinase 3
KHK_HUMAN	799853	Homo sapiens	ketohexokinase (fructokinase)
SPHK1_HUMAN	777634	Homo sapiens	sphingosine kinase 1
Q8CFM9_RAT	402839	Rattus norvegicus	adenylate cyclase 7
PK3CA_BOVIN	573976	Bos taurus	phosphoinositide-3-kinase, catalytic, alpha polypeptide
Q9W6Q1_9SALA	6774732	Amphiuma tridactylum	Sodium/hydrogen exchanger
Q48435_KLEPN	5245794	Klebsiella pneumoniae	pH205_02; pK29_p110
P2RX7_RAT	413039	Rattus norvegicus	purinergic receptor P2X, ligand-gated ion channel, 7
RXRG_RAT	414666	Rattus norvegicus	retinoid X receptor gamma
KS6A4_HUMAN	777718	Homo sapiens	ribosomal protein S6 kinase, 90kDa, polypeptide 4
PP2AA_MOUSE	462659	Mus musculus	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
NISCH_HUMAN	813108	Homo sapiens	nischarin
PAR1_HUMAN	794032	Homo sapiens	coagulation factor II (thrombin) receptor
THB_HUMAN	785559	Homo sapiens	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)
PA21B_NAJME	6771129	Naja melanoleuca	Phospholipase A2 isozyme DE-I
XPP1_HUMAN	790893	Homo sapiens	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble
Q9JKC1_RAT	379828	Rattus norvegicus	butyrylcholinesterase
Q6IMK5_RAT	402421	Rattus norvegicus	similar to diamine oxidase-like protein 2; diamine oxidase-like protein 2
NOS3_HUMAN	811301	Homo sapiens	nitric oxide synthase 3 (endothelial cell)
PDE4B_RAT	380882	Rattus norvegicus	phosphodiesterase 4B, cAMP specific
MRP3_HUMAN	786312	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
PTN1_HUMAN	820602	Homo sapiens	protein tyrosine phosphatase, non-receptor type 1
P4HA1_RAT	395023	Rattus norvegicus	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I
LUCI_LUCLA	6785303	Luciola lateralis	Luciferin 4-monooxygenase
MTR1B_CHICK	1212063	Gallus gallus	melatonin receptor 1B
Q8BGP7_MOUSE	435095	Mus musculus	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)
KLK3_HUMAN	808550	Homo sapiens	kallikrein-related peptidase 3
NK2R_RAT	393502	Rattus norvegicus	tachykinin receptor 2
KPCB_MOUSE	472535	Mus musculus	protein kinase C, beta
SSR2_RAT	396160	Rattus norvegicus	somatostatin receptor 2
UR2R_RAT	392336	Rattus norvegicus	urotensin 2 receptor
RXRB_RAT	411597	Rattus norvegicus	retinoid X receptor beta
PYR1_HUMAN	822393	Homo sapiens	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
SFRP1_HUMAN	786401	Homo sapiens	secreted frizzled-related protein 1
TESK1_HUMAN	801146	Homo sapiens	testis-specific kinase 1
MARK2_HUMAN	776972	Homo sapiens	MAP/microtubule affinity-regulating kinase 2
PDK1_RAT	413958	Rattus norvegicus	pyruvate dehydrogenase kinase, isozyme 1
MC5R_MOUSE	454782	Mus musculus	melanocortin 5 receptor
LPAR5_HUMAN	826385	Homo sapiens	lysophosphatidic acid receptor 5
UPPS_STRPN	4592405	Streptococcus pneumoniae	Undecaprenyl pyrophosphate synthetase
OPRK_CAVPO	376833	Cavia porcellus	opioid receptor, kappa 1
NADE_BACSU	4382116	Bacillus subtilis	NH(3)-dependent NAD(+) synthetase
Q6IMK6_RAT	410500	Rattus norvegicus	diamine oxidase-like protein 1
RXRG_MOUSE	449594	Mus musculus	retinoid X receptor gamma
SC5A7_RAT	394356	Rattus norvegicus	solute carrier family 5 (choline transporter), member 7
TAOK1_HUMAN	803804	Homo sapiens	TAO kinase 1
S19A2_HUMAN	787504	Homo sapiens	solute carrier family 19 (thiamine transporter), member 2
KCNA7_HUMAN	801731	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, member 7
XDH_BOVIN	595171	Bos taurus	xanthine dehydrogenase
KC1A_MOUSE	433780	Mus musculus	casein kinase 1, alpha 1
PYGM_HUMAN	805402	Homo sapiens	phosphorylase, glycogen, muscle
SRC_MOUSE	428865	Mus musculus	Rous sarcoma oncogene
KPCL_RAT	391089	Rattus norvegicus	protein kinase C, eta
SL9A1_RABIT	548978	Oryctolagus cuniculus	solute carrier family 9 (sodium/hydrogen exchanger), member 1
XIAP_HUMAN	796017	Homo sapiens	X-linked inhibitor of apoptosis
PYRF_YEAST	3125740	Saccharomyces cerevisiae	Orotidine 5'-phosphate decarboxylase
TRYT_CANFA	746406	Canis lupus	tryptase
NCOAT_HUMAN	802015	Homo sapiens	meningioma expressed antigen 5 (hyaluronidase)
NOS2_RAT	399386	Rattus norvegicus	similar to Nitric oxide synthase, inducible (NOS type II) (Inducible NO synthase) (Inducible NOS) (iNOS); nitric oxide synthase 2, inducible
Q8II92_PLAF7	2589039	Plasmodium falciparum	PF11_0282
SCN3A_RAT	390775	Rattus norvegicus	sodium channel, voltage-gated, type III, alpha
SSR4_HUMAN	817682	Homo sapiens	somatostatin receptor 4
RABP2_MOUSE	431903	Mus musculus	cellular retinoic acid binding protein II
TRYB1_RAT	417691	Rattus norvegicus	tryptase alpha/beta 1
RK_HUMAN	785851	Homo sapiens	G protein-coupled receptor kinase 1
TYSY_MOUSE	467372	Mus musculus	thymidylate synthase
TY3H_RAT	404368	Rattus norvegicus	tyrosine hydroxylase
PDE4A_HUMAN	793997	Homo sapiens	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
PPAC_HUMAN	790536	Homo sapiens	acid phosphatase 1, soluble
PPCE_PIG	611283	Sus scrofa	prolyl endopeptidase
PDE6A_HUMAN	786572	Homo sapiens	phosphodiesterase 6A, cGMP-specific, rod, alpha
ST14_HUMAN	805036	Homo sapiens	suppression of tumorigenicity 14 (colon carcinoma)
STK38_HUMAN	803442	Homo sapiens	serine/threonine kinase 38
MMP2_MOUSE	470496	Mus musculus	matrix metallopeptidase 2
OPRM_HUMAN	826234	Homo sapiens	opioid receptor, mu 1
SC5A2_MOUSE	432896	Mus musculus	solute carrier family 5 (sodium/glucose cotransporter), member 2
KCNN2_HUMAN	818732	Homo sapiens	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2
NEP_HUMAN	799829	Homo sapiens	membrane metallo-endopeptidase
PAK1_HUMAN	795823	Homo sapiens	p21 protein (Cdc42/Rac)-activated kinase 1
PD2R_MOUSE	445826	Mus musculus	prostaglandin D receptor
SC6A3_HUMAN	818959	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
TF_HUMAN	823833	Homo sapiens	coagulation factor III (thromboplastin, tissue factor)
RYR3_HUMAN	812128	Homo sapiens	ryanodine receptor 3
PA2GE_MOUSE	422783	Mus musculus	phospholipase A2, group IIE
SC6A5_HUMAN	784257	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, glycine), member 5
KCNQ3_HUMAN	793686	Homo sapiens	potassium voltage-gated channel, KQT-like subfamily, member 3
PDE4B_HUMAN	803170	Homo sapiens	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
Q7K6A1_PLAF7	2587452	Plasmodium falciparum	PFI1260c
S6A12_HUMAN	806360	Homo sapiens	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
KPCG_MOUSE	474346	Mus musculus	protein kinase C, gamma
PGTB1_HUMAN	799624	Homo sapiens	protein geranylgeranyltransferase type I, beta subunit
S19A1_HUMAN	787498	Homo sapiens	solute carrier family 19 (folate transporter), member 1
TPOR_HUMAN	779037	Homo sapiens	myeloproliferative leukemia virus oncogene
SCN9A_RAT	383403	Rattus norvegicus	sodium channel, voltage-gated, type IX, alpha
Q865E1_MACMU	942888	Macaca mulatta	histamine receptor H3
P96830_MYCTU	4111354	Mycobacterium tuberculosis	MRA_0161; Rv0153c
P96830_MYCTU	4103203	Mycobacterium tuberculosis	MT0162
LTK_HUMAN	777066	Homo sapiens	leukocyte receptor tyrosine kinase
NPY2R_HUMAN	798719	Homo sapiens	neuropeptide Y receptor Y2
MDHC_PIG	611663	Sus scrofa	malate dehydrogenase 1, NAD (soluble)
MK01_HUMAN	818576	Homo sapiens	mitogen-activated protein kinase 1
PDR5_YEAST	3129386	Saccharomyces cerevisiae	Pleiotropic ABC efflux transporter of multiple drugs
PARP1_MOUSE	443346	Mus musculus	poly (ADP-ribose) polymerase family, member 1
TSPO_RAT	398005	Rattus norvegicus	translocator protein
V1AR_RAT	413883	Rattus norvegicus	arginine vasopressin receptor 1A
S100B_HUMAN	785857	Homo sapiens	S100 calcium binding protein B
PGH2_RABIT	535474	Oryctolagus cuniculus	cyclooxygenase-2
Q8AWE3_CHICK	1209674	Gallus gallus	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha isoform
NMT1_HUMAN	783600	Homo sapiens	N-myristoyltransferase 1
PK3CD_HUMAN	813512	Homo sapiens	phosphoinositide-3-kinase, catalytic, delta polypeptide
SC6A5_RAT	418267	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, glycine), member 5
PDE6C_BOVIN	587696	Bos taurus	phosphodiesterase 6C, cGMP-specific, cone, alpha prime
MA1B1_HUMAN	779261	Homo sapiens	mannosidase, alpha, class 1B, member 1
Q9BEG3_BOVIN	572352	Bos taurus	arachidonate 5-lipoxygenase
OPRM_RAT	418348	Rattus norvegicus	opioid receptor, mu 1
MPIP1_HUMAN	800610	Homo sapiens	cell division cycle 25 homolog A (S. pombe)
Q9N1N9_HORSE	682374	Equus caballus	butyrylcholinesterase
NOX4_HUMAN	780961	Homo sapiens	NADPH oxidase 4
KSYK_HUMAN	813080	Homo sapiens	spleen tyrosine kinase
PKD1_HUMAN	807471	Homo sapiens	polycystic kidney disease 1 (autosomal dominant)
LPAR3_HUMAN	827054	Homo sapiens	lysophosphatidic acid receptor 3
RET1_HUMAN	786589	Homo sapiens	retinol binding protein 1, cellular
Q4VQ11_PIG	610208	Sus scrofa	A1 adenosine receptor
Q9WTR4_RAT	397344	Rattus norvegicus	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
PDE1C_HUMAN	808647	Homo sapiens	phosphodiesterase 1C, calmodulin-dependent 70kDa
STK3_MOUSE	425289	Mus musculus	serine/threonine kinase 3 (Ste20, yeast homolog)
RABP1_CHICK	1222136	Gallus gallus	cellular retinoic acid binding protein 1
KGP2_HUMAN	826615	Homo sapiens	protein kinase, cGMP-dependent, type II
Q533H1_FELCA	732814	Felis catus	urotensin 2 receptor
TERA_HUMAN	818836	Homo sapiens	valosin-containing protein
PDE3B_HUMAN	826997	Homo sapiens	phosphodiesterase 3B, cGMP-inhibited
YES_HUMAN	772644	Homo sapiens	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
NMD3B_MOUSE	439554	Mus musculus	glutamate receptor, ionotropic, NMDA3B
TAAR1_MOUSE	479574	Mus musculus	trace amine-associated receptor 1
MUSK_HUMAN	809702	Homo sapiens	muscle, skeletal, receptor tyrosine kinase
MAT1_HUMAN	782691	Homo sapiens	menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)
MAPK3_HUMAN	795639	Homo sapiens	mitogen-activated protein kinase-activated protein kinase 3
TNI3K_HUMAN	800412	Homo sapiens	TNNI3 interacting kinase; fucose-1-phosphate guanylyltransferase
NDUB5_HUMAN	780034	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa
THRB_MOUSE	448405	Mus musculus	coagulation factor II
NDUAB_HUMAN	816440	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa
OXDA_RAT	399200	Rattus norvegicus	D-amino-acid oxidase
Q81LQ4_BACAN	4469930	Bacillus anthracis	BAA_4577; GBAA4558; BAMEG_4595; BA4558; BAS4230
PPARA_CANFA	764664	Canis lupus	peroxisome proliferator-activated receptor alpha
THAS_RAT	394148	Rattus norvegicus	thromboxane A synthase 1, platelet
PA2GD_MOUSE	462910	Mus musculus	phospholipase A2, group IID
PGH1_MOUSE	456556	Mus musculus	prostaglandin-endoperoxide synthase 1
UTS2_RAT	391040	Rattus norvegicus	urotensin 2
NK3R_CAVPO	360126	Cavia porcellus	tachykinin receptor 3
TIE2_HUMAN	807096	Homo sapiens	TEK tyrosine kinase, endothelial
T2S1_STRCS	6570486	Streptomyces caespitosus	Type-2 restriction enzyme ScaI
Q9GPQ4_TRYVI	6792344	Trypanosoma vivax	IAG-nucleoside hydrolase
MK03_HUMAN	805217	Homo sapiens	hypothetical LOC100271831; mitogen-activated protein kinase 3
PDK1_HUMAN	774288	Homo sapiens	pyruvate dehydrogenase kinase, isozyme 1
STK4_HUMAN	819618	Homo sapiens	serine/threonine kinase 4
PPAP_HUMAN	811919	Homo sapiens	acid phosphatase, prostate
SIK2_HUMAN	810012	Homo sapiens	salt-inducible kinase 2
NK2R_HUMAN	821652	Homo sapiens	tachykinin receptor 2
TYSY_ECOLI	5277981	Escherichia coli	Thymidylate synthase
S5A1_HUMAN	807729	Homo sapiens	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)
P2RX4_RAT	383354	Rattus norvegicus	purinergic receptor P2X, ligand-gated ion channel 4
PIM3_HUMAN	774637	Homo sapiens	pim-3 oncogene
MGMT_HUMAN	792253	Homo sapiens	O-6-methylguanine-DNA methyltransferase
PE2R3_HUMAN	776889	Homo sapiens	prostaglandin E receptor 3 (subtype EP3)
LOX15_RABIT	536402	Oryctolagus cuniculus	arachidonate 15-lipoxygenase
NEC1_HUMAN	826848	Homo sapiens	proprotein convertase subtilisin/kexin type 1
UROK_MOUSE	447919	Mus musculus	plasminogen activator, urokinase
MMP9_MOUSE	456554	Mus musculus	matrix metallopeptidase 9
PP2AA_HUMAN	788606	Homo sapiens	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
NTR2_HUMAN	810654	Homo sapiens	neurotensin receptor 2
MP2K3_HUMAN	812850	Homo sapiens	mitogen-activated protein kinase kinase 3
PF2R_HUMAN	776569	Homo sapiens	prostaglandin F receptor (FP)
MC3R_MOUSE	482375	Mus musculus	melanocortin 3 receptor
TY3H_HUMAN	776509	Homo sapiens	tyrosine hydroxylase
OPRD_MOUSE	469773	Mus musculus	hypothetical protein LOC100044222; opioid receptor, delta 1
M4K2_HUMAN	815440	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 2
SERPH_HUMAN	800499	Homo sapiens	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)
NTRK1_HUMAN	782170	Homo sapiens	neurotrophic tyrosine kinase, receptor, type 1
SSR3_MOUSE	442507	Mus musculus	somatostatin receptor 3
TBB5_HUMAN	800083	Homo sapiens	tubulin, beta; similar to tubulin, beta 5; tubulin, beta pseudogene 2; tubulin, beta pseudogene 1
MAL12_YEAST	3128175	Saccharomyces cerevisiae	Alpha-glucosidase MAL12
P71716_MYCTU	4102797	Mycobacterium tuberculosis	Rv2384; MRA_2407
P71716_MYCTU	4105896	Mycobacterium tuberculosis	MT2452
LOX5_MOUSE	421872	Mus musculus	arachidonate 5-lipoxygenase
PANC_MYCTU	4092490	Mycobacterium tuberculosis	Pantothenate synthetase
TA2R_HUMAN	804543	Homo sapiens	thromboxane A2 receptor
NTR1_RAT	383738	Rattus norvegicus	neurotensin receptor 1
LICH_HUMAN	825101	Homo sapiens	lipase A, lysosomal acid, cholesterol esterase
M3K7_HUMAN	776988	Homo sapiens	mitogen-activated protein kinase kinase kinase 7
MDR1_HUMAN	824338	Homo sapiens	ATP-binding cassette, sub-family B (MDR/TAP), member 1
MST4_HUMAN	811390	Homo sapiens	serine/threonine protein kinase MST4
MCR_RAT	411779	Rattus norvegicus	nuclear receptor subfamily 3, group C, member 2
PA24C_HUMAN	790091	Homo sapiens	phospholipase A2, group IVC (cytosolic, calcium-independent)
NMDE3_RAT	390705	Rattus norvegicus	glutamate receptor, ionotropic, N-methyl D-aspartate 2C
O53430_MYCTU	4098372	Mycobacterium tuberculosis	MT1113
O53430_MYCTU	4105398	Mycobacterium tuberculosis	MRA_1092; Rv1082
PUR2_MOUSE	431400	Mus musculus	phosphoribosylglycinamide formyltransferase
ST32B_HUMAN	803770	Homo sapiens	serine/threonine kinase 32B
RENI_RAT	380125	Rattus norvegicus	renin
MMP13_BOVIN	578361	Bos taurus	matrix metallopeptidase 13 (collagenase 3)
SC6A2_MOUSE	458398	Mus musculus	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
PGH1_SHEEP	567606	Ovis aries	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
TA2R_RAT	395265	Rattus norvegicus	thromboxane A2 receptor
NOS1_HUMAN	778877	Homo sapiens	nitric oxide synthase 1 (neuronal)
KCND3_HUMAN	792280	Homo sapiens	potassium voltage-gated channel, Shal-related subfamily, member 3
SC6A3_BOVIN	576686	Bos taurus	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
Q0GKD7_LEIDO	6793150	Leishmania donovani	Farnesyl pyrophosphate synthase
Q6RY99_RAT	380661	Rattus norvegicus	F-box only protein 23
S27A4_HUMAN	798761	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 4
NMDZ1_HUMAN	793972	Homo sapiens	glutamate receptor, ionotropic, N-methyl D-aspartate 1
PE2R4_RAT	418113	Rattus norvegicus	prostaglandin E receptor 4 (subtype EP4)
SYYC_HUMAN	795407	Homo sapiens	tyrosyl-tRNA synthetase
SMO_HUMAN	797648	Homo sapiens	smoothened homolog (Drosophila)
Q4Q5W4_LEIMA	2763095	Leishmania major	LmjF31.2940
PPAC_BOVIN	578336	Bos taurus	acid phosphatase 1, soluble
RIOK3_HUMAN	815805	Homo sapiens	RIO kinase 3 (yeast)
PRGR_CHICK	1211355	Gallus gallus	progesterone receptor
TRYB1_MOUSE	459273	Mus musculus	tryptase alpha/beta 1
YSK4_HUMAN	808864	Homo sapiens	YSK4 Sps1/Ste20-related kinase homolog (S. cerevisiae)
LACB_BOVIN	582346	Bos taurus	lactoglobulin, beta
STF1_HUMAN	807971	Homo sapiens	nuclear receptor subfamily 5, group A, member 1
PK3CA_HUMAN	797532	Homo sapiens	phosphoinositide-3-kinase, catalytic, alpha polypeptide
RET3_HUMAN	819873	Homo sapiens	retinol binding protein 3, interstitial
V2R_RAT	404100	Rattus norvegicus	arginine vasopressin receptor 2
SPHK2_MOUSE	429281	Mus musculus	sphingosine kinase 2
P4HTM_HUMAN	772231	Homo sapiens	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)
TM11D_HUMAN	808498	Homo sapiens	transmembrane protease, serine 11D
OPRD_PIG	615119	Sus scrofa	opioid receptor, delta 1
LYAG_MOUSE	478620	Mus musculus	glucosidase, alpha, acid
KCNE1_HUMAN	820937	Homo sapiens	potassium voltage-gated channel, Isk-related family, member 1
Q5RJZ2_RAT	390988	Rattus norvegicus	histone deacetylase 5
PEPA_HUMAN	799376	Homo sapiens	similar to Pepsin A precursor; pepsinogen 3, group I (pepsinogen A); pepsinogen 4, group I (pepsinogen A)
PEPA_HUMAN	816952	Homo sapiens	pepsinogen 5, group I (pepsinogen A)
MA2A1_HUMAN	799920	Homo sapiens	mannosidase, alpha, class 2A, member 1
STA5A_HUMAN	783742	Homo sapiens	signal transducer and activator of transcription 5A
PHKG1_HUMAN	794633	Homo sapiens	phosphorylase kinase, gamma 1 (muscle)
TF65_HUMAN	818089	Homo sapiens	v-rel reticuloendotheliosis viral oncogene homolog A (avian)
PA21B_MOUSE	446483	Mus musculus	phospholipase A2, group IB, pancreas
NMD3A_HUMAN	811975	Homo sapiens	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
PTK6_HUMAN	791969	Homo sapiens	PTK6 protein tyrosine kinase 6
TBB3_HUMAN	800760	Homo sapiens	tubulin, beta 3; melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
S5A2_HUMAN	814294	Homo sapiens	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)
PPCE_HUMAN	816038	Homo sapiens	prolyl endopeptidase
PRP4_HUMAN	825801	Homo sapiens	PRP4 pre-mRNA processing factor 4 homolog (yeast)
NPY1R_HUMAN	780001	Homo sapiens	neuropeptide Y receptor Y1
SAHH_MOUSE	436117	Mus musculus	similar to Adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase) (Liver copper-binding protein) (CUBP); S-adenosylhomocysteine hydrolase
KIF11_HUMAN	809693	Homo sapiens	kinesin family member 11
SAHH_RAT	381739	Rattus norvegicus	similar to Adenosylhomocysteinase (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase) (Liver copper-binding protein) (CUBP); S-adenosylhomocysteine hydrolase
SC5A7_HUMAN	789872	Homo sapiens	solute carrier family 5 (choline transporter), member 7
PARP2_MOUSE	440315	Mus musculus	poly (ADP-ribose) polymerase family, member 2
NOX1_HUMAN	814510	Homo sapiens	NADPH oxidase 1
UR2R_HUMAN	792486	Homo sapiens	urotensin 2 receptor
NEC2_HUMAN	801035	Homo sapiens	proprotein convertase subtilisin/kexin type 2
TYPH_HUMAN	804719	Homo sapiens	thymidine phosphorylase
LUXS_BACSU	4382021	Bacillus subtilis	S-ribosylhomocysteine lyase
PGH2_RAT	416280	Rattus norvegicus	prostaglandin-endoperoxide synthase 2
NDUA6_HUMAN	790310	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa
MRCKG_HUMAN	810567	Homo sapiens	CDC42 binding protein kinase gamma (DMPK-like)
SIK1_HUMAN	809148	Homo sapiens	salt-inducible kinase 1
MK06_HUMAN	788114	Homo sapiens	mitogen-activated protein kinase 6
SIR2_YEAST	3124729	Saccharomyces cerevisiae	NAD-dependent histone deacetylase SIR2
MMP12_RAT	386473	Rattus norvegicus	matrix metallopeptidase 12
PPARG_HUMAN	780063	Homo sapiens	peroxisome proliferator-activated receptor gamma
SSDH_HUMAN	773505	Homo sapiens	aldehyde dehydrogenase 5 family, member A1
RFA1_HUMAN	820383	Homo sapiens	replication protein A1, 70kDa
NU3M_HUMAN	814654	Homo sapiens	NADH-ubiquinone oxidoreductase chain 3
STAT3_HUMAN	813650	Homo sapiens	signal transducer and activator of transcription 3 (acute-phase response factor)
UPP1_HUMAN	820146	Homo sapiens	uridine phosphorylase 1
METK1_RAT	398236	Rattus norvegicus	methionine adenosyltransferase I, alpha
M3K3_HUMAN	802875	Homo sapiens	mitogen-activated protein kinase kinase kinase 3
PGFRA_HUMAN	821838	Homo sapiens	platelet-derived growth factor receptor, alpha polypeptide
PDK4_HUMAN	774073	Homo sapiens	pyruvate dehydrogenase kinase, isozyme 4
PEPA_PIG	615334	Sus scrofa	pepsin
PIN1_HUMAN	813949	Homo sapiens	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
OGT1_HUMAN	779354	Homo sapiens	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
TOP3_BACSU	4381992	Bacillus subtilis	DNA topoisomerase 3
RIPK4_HUMAN	807429	Homo sapiens	receptor-interacting serine-threonine kinase 4
PLMN_MOUSE	467264	Mus musculus	plasminogen
KCNQ2_HUMAN	788233	Homo sapiens	potassium voltage-gated channel, KQT-like subfamily, member 2
NQO2_HUMAN	781654	Homo sapiens	NAD(P)H dehydrogenase, quinone 2
PYGL_RAT	398657	Rattus norvegicus	phosphorylase, glycogen, liver
SL9A2_HUMAN	774638	Homo sapiens	solute carrier family 9 (sodium/hydrogen exchanger), member 2
MCL1_HUMAN	798110	Homo sapiens	myeloid cell leukemia sequence 1 (BCL2-related)
KCNA5_HUMAN	796807	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, member 5
POLG_WNV	160886	West Nile virus	Genome polyprotein
S1PR4_HUMAN	820639	Homo sapiens	sphingosine-1-phosphate receptor 4
LCAP_RAT	405317	Rattus norvegicus	leucyl/cystinyl aminopeptidase
MC5R_RAT	387743	Rattus norvegicus	melanocortin 5 receptor
